날짜,매출금액,매출건수
20250307,34034,4
20250307,17819,2
20250307,91055,4
20250307,65902,4
20250307,28181,4
20250307,35638,2
20250307,53457,5
20250307,90547,11
20250307,19601,4
20250307,17819,2
20250307,10691,2
20250307,71276,7
20250307,62366,5
20250307,17819,2
20250307,17641,2
20250307,10691,2
20250307,63186,11
20250307,10691,2
20250307,10691,2
20250307,41117,4
20250307,10691,2
20250307,131853,7
20250307,42766,2
20250307,48111,2
20250307,257550,5
20250307,96222,4
20250307,17270,2
20250307,312855,2
20250307,135424,2
20250307,158589,2
20250307,625531,2
20250308,35638,2
20250308,135086,2
20250308,2333435,4
20250308,1655296,4
20250308,4098,2
20250308,3564,2
20250308,4455,2
20250308,5167,2
20250308,8197,2
20250308,4455,2
20250308,6949,2
20250308,9444,2
20250308,5167,2
20250308,4455,2
20250308,3681,2
20250308,4277,2
20250308,10048,4
20250308,53457,5
20250308,32609,5
20250308,28510,4
20250308,17819,2
20250308,18106,2
20250308,35638,2
20250308,8909,2
20250308,71276,2
20250308,197790,14
20250308,55952,5
20250308,63257,9
20250308,17819,2
20250308,17819,2
20250308,26194,4
20250308,98127,4
20250308,70207,5
20250308,16755,2
20250308,183022,18
20250308,274066,25
20250308,145225,7
20250308,144059,7
20250308,35638,4
20250308,52393,5
20250308,155112,11
20250308,88170,14
20250308,63257,2
20250308,54032,5
20250308,144334,14
20250308,99786,11
20250308,65438,7
20250308,39629,5
20250308,53457,5
20250308,17106,2
20250308,128573,14
20250308,60584,4
20250308,126153,18
20250308,10691,2
20250308,28861,4
20250308,43117,7
20250308,198325,12
20250308,96222,5
20250308,192445,2
20250308,49893,2
20250308,48111,2
20250308,96222,4
20250308,16928,2
20250308,8909,2
20250308,6539558,5
20250308,47518,4
20250308,1835353,2
20250309,1678377,4
20250309,1671928,4
20250309,3564,2
20250309,11226,2
20250309,5167,2
20250309,8981,4
20250309,5527,2
20250309,4098,2
20250309,4455,2
20250309,4989,2
20250309,6058,2
20250309,35638,2
20250309,71276,4
20250309,17819,2
20250309,21734,4
20250309,175962,18
20250309,34018,4
20250309,61987,4
20250309,53457,4
20250309,73614,2
20250309,28264,4
20250309,142274,12
20250309,70465,7
20250309,145829,12
20250309,26728,4
20250309,53457,5
20250309,26728,4
20250309,233428,25
20250309,183535,11
20250309,71276,4
20250309,108696,11
20250309,120677,12
20250309,80274,7
20250309,88539,9
20250309,17819,2
20250309,17819,2
20250309,71276,7
20250309,145225,14
20250309,272719,25
20250309,99540,7
20250309,46329,4
20250309,53457,5
20250309,93088,12
20250309,8909,2
20250309,187188,11
20250309,19027,2
20250309,192445,2
20250309,116750,11
20250309,127227,12
20250309,153243,18
20250309,299359,4
20250309,210264,7
20250309,10691,2
20250309,75374,12
20250309,53457,9
20250309,32502,5
20250309,10691,2
20250309,32995,5
20250309,31744,5
20250309,201354,5
20250309,10691,2
20250309,277976,2
20250309,119387,2
20250309,2388988,2
20250310,1345756,2
20250310,14594,2
20250310,9800,2
20250310,4455,2
20250310,4989,2
20250310,4455,2
20250310,8909,2
20250310,5167,2
20250310,8909,2
20250310,5702,2
20250310,4098,2
20250310,9291,4
20250310,5346,2
20250310,128134,9
20250310,145173,11
20250310,91983,7
20250310,91388,7
20250310,142944,5
20250310,21516,2
20250310,890948,2
20250310,21383,2
20250310,43514,2
20250310,45438,4
20250310,87313,4
20250310,18888,2
20250310,30292,2
20250310,50784,2
20250310,40984,2
20250310,1613019,2
20250310,90877,4
20250310,96222,4
20250310,106023,2
20250310,80185,2
20250310,192445,2
20250310,48111,2
20250310,10691,2
20250310,55210,2
20250310,35638,2
20250310,152352,2
20250311,3615,2
20250311,4455,2
20250311,8731,4
20250311,10691,4
20250311,7662,2
20250311,3742,2
20250311,4098,2
20250311,11974,2
20250311,6593,2
20250311,7840,2
20250311,5702,2
20250311,45046,4
20250311,255948,25
20250311,160353,11
20250311,19922,2
20250311,23521,2
20250311,66411,5
20250311,31183,4
20250311,157698,4
20250311,24234,2
20250311,50695,5
20250311,24590,2
20250311,12473,2
20250311,96720,7
20250311,20492,2
20250311,1782,2
20250311,1782,2
20250311,1969155,4
20250311,119326,5
20250311,72163,9
20250311,40093,2
20250311,20492,2
20250311,19601,2
20250311,131540,12
20250311,213026,4
20250311,143908,7
20250311,147505,5
20250311,43051,5
20250311,16607,4
20250311,59943,5
20250311,230684,11
20250311,105756,5
20250311,17641,2
20250311,243368,4
20250311,39202,2
20250311,9677,2
20250311,231646,2
20250311,3207413,2
20250311,3100499,2
20250312,932696,2
20250312,191766,2
20250312,4455,2
20250312,4098,2
20250312,10870,2
20250312,4455,2
20250312,3564,2
20250312,4455,2
20250312,4098,2
20250312,4277,2
